start_preprocess,e_preprocess,end_preprocess,start_infer,e_infer,end_infer,start_postprocess,e_postprocess,end_postprocess,execution_time,cycle_time,frame_rate
443783.24,9.83,443793.07,443793.07,18.34,443811.41,443811.41,0.01,443811.41,28.17,28.17,35.50
443811.42,9.83,443821.25,443821.25,18.29,443839.54,443839.54,0.01,443839.55,28.13,28.17,35.49
443839.55,9.82,443849.37,443849.37,18.43,443867.80,443867.80,0.01,443867.81,28.26,28.13,35.55
443867.81,9.84,443877.65,443877.65,18.44,443896.09,443896.09,0.01,443896.10,28.29,28.26,35.39
443896.10,9.80,443905.90,443905.90,18.36,443924.26,443924.26,0.01,443924.26,28.17,28.29,35.35
443924.27,9.78,443934.05,443934.05,18.35,443952.40,443952.40,0.01,443952.41,28.14,28.17,35.50
443952.41,9.75,443962.15,443962.15,18.32,443980.47,443980.47,0.01,443980.48,28.07,28.14,35.53
443980.48,9.80,443990.29,443990.29,18.32,444008.61,444008.61,0.01,444008.62,28.13,28.08,35.62
444008.62,9.85,444018.47,444018.47,18.46,444036.93,444036.93,0.01,444036.94,28.32,28.14,35.54
444036.94,9.82,444046.76,444046.76,18.48,444065.23,444065.23,0.01,444065.24,28.30,28.32,35.31
444065.24,9.79,444075.04,444075.04,18.46,444093.50,444093.50,0.01,444093.51,28.26,28.30,35.33
444093.51,9.88,444103.39,444103.39,18.48,444121.87,444121.87,0.01,444121.87,28.36,28.27,35.38
444121.87,9.83,444131.70,444131.70,18.28,444149.98,444149.98,0.01,444149.99,28.12,28.37,35.25
444149.99,9.81,444159.80,444159.81,18.33,444178.13,444178.13,0.01,444178.14,28.15,28.12,35.56
444178.14,9.81,444187.95,444187.95,18.40,444206.35,444206.35,0.01,444206.36,28.22,28.15,35.53
444206.36,9.89,444216.25,444216.25,18.46,444234.71,444234.71,0.01,444234.72,28.35,28.22,35.43
444234.72,9.78,444244.50,444244.50,18.35,444262.85,444262.85,0.01,444262.86,28.14,28.36,35.27
444262.86,9.78,444272.64,444272.64,18.37,444291.00,444291.00,0.01,444291.01,28.15,28.14,35.53
444291.01,9.85,444300.86,444300.86,18.34,444319.20,444319.20,0.01,444319.21,28.19,28.15,35.52
444319.21,9.80,444329.01,444329.01,18.33,444347.34,444347.34,0.01,444347.35,28.14,28.20,35.46
444347.35,9.83,444357.18,444357.18,18.36,444375.54,444375.54,0.01,444375.55,28.20,28.14,35.54
444375.55,9.84,444385.40,444385.40,18.40,444403.80,444403.80,0.01,444403.81,28.26,28.20,35.46
444403.81,9.78,444413.59,444413.59,18.37,444431.96,444431.96,0.01,444431.97,28.16,28.26,35.39
444431.97,9.86,444441.83,444441.83,18.31,444460.14,444460.14,0.01,444460.14,28.18,28.16,35.51
444460.14,9.78,444469.92,444469.92,18.33,444488.25,444488.25,0.01,444488.26,28.11,28.18,35.49
444488.26,9.81,444498.07,444498.07,18.34,444516.41,444516.41,0.01,444516.42,28.16,28.12,35.57
444516.42,9.76,444526.18,444526.18,18.42,444544.60,444544.60,0.01,444544.60,28.18,28.16,35.51
444544.61,9.79,444554.39,444554.39,18.43,444572.82,444572.82,0.01,444572.83,28.22,28.18,35.48
444572.83,9.84,444582.67,444582.67,18.35,444601.02,444601.02,0.01,444601.03,28.20,28.22,35.43
444601.03,9.79,444610.82,444610.82,18.41,444629.22,444629.22,0.01,444629.23,28.20,28.20,35.46
444629.23,9.79,444639.03,444639.03,18.34,444657.37,444657.37,0.01,444657.37,28.14,28.20,35.46
444657.38,9.79,444667.16,444667.16,18.31,444685.47,444685.47,0.01,444685.48,28.10,28.14,35.53
444685.48,9.83,444695.31,444695.31,18.41,444713.72,444713.72,0.01,444713.73,28.25,28.10,35.58
444713.73,9.78,444723.51,444723.51,18.41,444741.91,444741.92,0.01,444741.92,28.19,28.25,35.40
444741.92,9.82,444751.74,444751.74,18.33,444770.07,444770.07,0.01,444770.08,28.16,28.20,35.47
444770.08,9.77,444779.85,444779.85,18.33,444798.18,444798.19,0.01,444798.19,28.11,28.16,35.51
444798.19,9.78,444807.97,444807.97,18.34,444826.31,444826.31,0.01,444826.32,28.13,28.11,35.57
444826.32,9.88,444836.20,444836.20,18.31,444854.51,444854.51,0.01,444854.52,28.20,28.13,35.55
444854.52,9.82,444864.34,444864.34,18.41,444882.76,444882.76,0.01,444882.76,28.24,28.20,35.46
444882.76,9.81,444892.57,444892.57,18.42,444910.99,444910.99,0.01,444911.00,28.24,28.24,35.41
444911.00,9.80,444920.80,444920.80,18.27,444939.07,444939.08,0.01,444939.08,28.08,28.24,35.41
444939.08,9.79,444948.88,444948.88,18.34,444967.22,444967.22,0.01,444967.23,28.14,28.08,35.61
444967.23,9.89,444977.12,444977.12,18.34,444995.45,444995.45,0.01,444995.46,28.23,28.15,35.53
444995.46,9.80,445005.26,445005.26,18.32,445023.59,445023.59,0.01,445023.59,28.13,28.23,35.42
445023.59,9.80,445033.40,445033.40,18.39,445051.79,445051.79,0.01,445051.79,28.20,28.13,35.55
445051.80,9.85,445061.65,445061.65,18.42,445080.07,445080.07,0.01,445080.07,28.28,28.20,35.46
445080.07,9.79,445089.87,445089.87,18.34,445108.20,445108.20,0.01,445108.21,28.14,28.28,35.36
445108.21,9.87,445118.08,445118.08,18.37,445136.45,445136.45,0.01,445136.46,28.25,28.14,35.54
445136.46,9.81,445146.27,445146.27,18.31,445164.59,445164.59,0.01,445164.59,28.13,28.25,35.40
445164.60,9.82,445174.42,445174.42,18.32,445192.74,445192.74,0.01,445192.74,28.15,28.13,35.55
445192.75,9.79,445202.53,445202.53,18.44,445220.98,445220.98,0.01,445220.98,28.24,28.15,35.52
445220.99,9.84,445230.82,445230.82,18.41,445249.24,445249.24,0.01,445249.25,28.26,28.24,35.41
445249.25,9.77,445259.02,445259.02,18.34,445277.36,445277.36,0.01,445277.37,28.12,28.26,35.38
445277.37,9.83,445287.20,445287.20,18.35,445305.55,445305.55,0.01,445305.55,28.18,28.13,35.56
445305.56,9.87,445315.42,445315.42,18.35,445333.77,445333.77,0.01,445333.78,28.22,28.18,35.48
445333.78,9.81,445343.59,445343.59,18.31,445361.90,445361.90,0.01,445361.91,28.13,28.22,35.43
445361.91,9.84,445371.75,445371.75,18.41,445390.17,445390.17,0.01,445390.18,28.26,28.13,35.55
445390.18,9.88,445400.05,445400.05,18.43,445418.49,445418.49,0.01,445418.49,28.32,28.26,35.38
445418.50,9.78,445428.28,445428.28,18.33,445446.61,445446.61,0.01,445446.61,28.12,28.32,35.31
445446.61,9.81,445456.42,445456.42,18.33,445474.75,445474.75,0.01,445474.76,28.15,28.12,35.56
445474.76,9.79,445484.56,445484.56,18.29,445502.85,445502.85,0.01,445502.86,28.10,28.15,35.53
445502.86,9.80,445512.65,445512.65,18.37,445531.03,445531.03,0.01,445531.04,28.18,28.10,35.59
445531.04,9.85,445540.89,445540.89,18.43,445559.32,445559.32,0.01,445559.33,28.29,28.18,35.49
445559.33,9.82,445569.14,445569.14,18.42,445587.57,445587.57,0.01,445587.57,28.25,28.29,35.35
445587.58,9.81,445597.39,445597.39,18.30,445615.68,445615.68,0.01,445615.69,28.11,28.25,35.40
445615.69,9.81,445625.50,445625.50,18.37,445643.87,445643.87,0.01,445643.87,28.18,28.12,35.57
445643.88,9.83,445653.71,445653.71,18.31,445672.02,445672.02,0.01,445672.02,28.15,28.18,35.48
445672.03,9.79,445681.82,445681.82,18.36,445700.18,445700.18,0.01,445700.19,28.16,28.15,35.53
445700.19,9.85,445710.04,445710.04,18.40,445728.43,445728.43,0.01,445728.44,28.25,28.16,35.51
445728.44,9.82,445738.26,445738.26,18.39,445756.65,445756.65,0.01,445756.66,28.21,28.25,35.39
445756.66,9.86,445766.51,445766.51,18.39,445784.91,445784.91,0.01,445784.91,28.26,28.21,35.44
445784.92,9.78,445794.70,445794.70,18.36,445813.06,445813.06,0.01,445813.07,28.15,28.26,35.39
445813.07,9.80,445822.87,445822.87,18.33,445841.21,445841.21,0.01,445841.21,28.15,28.15,35.52
445841.22,9.83,445851.04,445851.04,18.37,445869.42,445869.42,0.01,445869.42,28.21,28.15,35.53
445869.43,9.84,445879.27,445879.27,18.41,445897.68,445897.68,0.01,445897.69,28.26,28.21,35.45
445897.69,9.87,445907.56,445907.56,18.40,445925.96,445925.96,0.01,445925.97,28.28,28.27,35.38
445925.97,9.81,445935.79,445935.79,18.32,445954.11,445954.11,0.01,445954.11,28.14,28.28,35.36
445954.11,9.83,445963.95,445963.95,18.35,445982.30,445982.30,0.01,445982.30,28.19,28.14,35.53
445982.31,9.80,445992.11,445992.11,18.49,446010.60,446010.60,0.01,446010.61,28.30,28.19,35.47
446010.61,9.81,446020.42,446020.42,18.32,446038.74,446038.74,0.01,446038.75,28.14,28.31,35.33
446038.75,9.77,446048.52,446048.52,18.37,446066.88,446066.88,0.01,446066.89,28.14,28.14,35.54
446066.89,9.81,446076.70,446076.70,18.40,446095.10,446095.10,0.01,446095.10,28.21,28.14,35.53
446095.11,9.83,446104.94,446104.94,18.31,446123.25,446123.25,0.01,446123.26,28.15,28.22,35.44
446123.26,9.83,446133.09,446133.09,18.33,446151.42,446151.42,0.01,446151.42,28.17,28.15,35.52
446151.43,9.82,446161.24,446161.24,18.29,446179.54,446179.54,0.01,446179.54,28.12,28.17,35.50
446179.55,9.86,446189.41,446189.41,18.34,446207.74,446207.74,0.01,446207.75,28.20,28.12,35.56
446207.75,9.77,446217.53,446217.53,18.40,446235.92,446235.92,0.01,446235.93,28.18,28.21,35.45
446235.93,9.80,446245.74,446245.74,18.43,446264.16,446264.16,0.01,446264.17,28.24,28.18,35.49
446264.17,9.76,446273.94,446273.94,18.32,446292.25,446292.25,0.01,446292.26,28.09,28.24,35.41
446292.26,9.75,446302.02,446302.02,18.35,446320.37,446320.37,0.01,446320.38,28.11,28.09,35.60
446320.38,9.84,446330.22,446330.22,18.34,446348.56,446348.56,0.01,446348.57,28.19,28.11,35.57
446348.57,9.84,446358.41,446358.41,18.37,446376.78,446376.78,0.01,446376.78,28.22,28.19,35.47
446376.79,9.84,446386.63,446386.63,18.41,446405.03,446405.04,0.01,446405.04,28.26,28.22,35.44
446405.04,9.80,446414.84,446414.84,18.39,446433.23,446433.23,0.01,446433.24,28.19,28.26,35.39
446433.24,9.80,446443.04,446443.04,18.32,446461.35,446461.35,0.01,446461.36,28.12,28.19,35.47
446461.36,9.85,446471.21,446471.21,18.34,446489.55,446489.55,0.01,446489.55,28.19,28.12,35.56
446489.56,9.87,446499.43,446499.43,18.33,446517.76,446517.76,0.01,446517.76,28.21,28.20,35.47
446517.77,9.77,446527.53,446527.53,18.31,446545.84,446545.84,0.01,446545.85,28.08,28.21,35.45
446545.85,9.78,446555.63,446555.63,18.39,446574.02,446574.02,0.01,446574.03,28.18,28.08,35.61
446574.03,9.77,446583.80,446583.80,18.39,446602.19,446602.19,0.01,446602.20,28.17,28.18,35.49
446602.20,9.87,446612.07,446612.07,18.32,446630.39,446630.39,0.01,446630.40,28.20,28.17,35.50
446630.40,9.85,446640.25,446640.25,18.32,446658.58,446658.58,0.01,446658.58,28.18,28.20,35.46
446658.58,9.86,446668.44,446668.44,18.32,446686.76,446686.76,0.01,446686.77,28.18,28.18,35.48
446686.77,9.80,446696.57,446696.57,18.35,446714.92,446714.92,0.01,446714.93,28.16,28.19,35.48
446714.93,9.80,446724.73,446724.73,18.41,446743.14,446743.14,0.01,446743.15,28.22,28.16,35.51
446743.15,9.78,446752.93,446752.93,18.46,446771.38,446771.38,0.01,446771.39,28.24,28.22,35.44
446771.39,9.84,446781.24,446781.24,18.34,446799.58,446799.58,0.01,446799.58,28.19,28.24,35.41
446799.58,9.80,446809.38,446809.38,18.33,446827.71,446827.71,0.01,446827.72,28.13,28.19,35.47
446827.72,9.77,446837.49,446837.49,18.37,446855.86,446855.86,0.01,446855.87,28.15,28.13,35.54
446855.87,9.80,446865.67,446865.67,18.35,446884.01,446884.01,0.01,446884.02,28.15,28.15,35.52
446884.02,9.84,446893.87,446893.87,18.41,446912.27,446912.27,0.01,446912.28,28.26,28.15,35.52
446912.28,9.79,446922.07,446922.07,18.42,446940.49,446940.49,0.01,446940.50,28.22,28.26,35.39
446940.50,9.83,446950.34,446950.34,18.48,446968.82,446968.82,0.01,446968.83,28.32,28.22,35.43
446968.83,9.89,446978.72,446978.72,18.33,446997.05,446997.05,0.01,446997.06,28.23,28.33,35.30
446997.06,9.76,447006.82,447006.82,18.34,447025.16,447025.16,0.01,447025.17,28.10,28.23,35.42
447025.17,9.84,447035.01,447035.01,18.35,447053.36,447053.36,0.01,447053.37,28.20,28.11,35.58
